Code,Title,Description,Link
21310,Electrical and electronics engineers,"Electrical and electronics engineers design, plan, research, evaluate and test electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and by a wide range of manufacturing, processing and transportation industries and government.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=%2Fol6bvMPdus7qkVnZbkJMkNyaNXekVqkhaicjA%2BBjNI%3D
21311,Computer engineers (except software engineers and designers),"Computer engineers (except software engineers and designers) research, plan, design, develop, modify, evaluate and integrate computer and telecommunications hardware and related equipment, and information and communication system networks including mainframe systems, local and wide area networks, fibre-optic networks, wireless communication networks, intranets, the Internet and other data communications systems. They are employed by computer and telecommunication hardware manufacturers, by engineering, manufacturing and telecommunications firms, in information technology consulting firms, by governmental, educational and research institutions and in information technology units throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Sob%2FwQhLfzoweOORXYMVUZCvKZKsLMCjNgkAZl02i%2Fw%3D
21320,Chemical engineers,"Chemical engineers research, design, and develop chemical processes and equipment, oversee the operation and maintenance of industrial chemical, plastics, pharmaceutical, resource, pulp and paper, and food processing plants and perform duties related to chemical quality control, environmental protection and biochemical or biotechnical engineering. They are employed in a wide range of manufacturing and processing industries, consulting firms, government, research and educational institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=rWaohU%2BQ0bwfuPf1U4arkHH6aBsUOiw%2BQiedesxRegM%3D
21321,Industrial and manufacturing engineers,"Industrial and manufacturing engineers conduct studies, and develop and supervise programs to achieve the best use of equipment, human resources, technology, materials and procedures to enhance efficiency and productivity. They are employed in consulting firms, manufacturing and processing companies, in government, financial, health care and other institutions, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=gJCJBq3RNQsB3DwCUV9vSZHpBFL1ynJLYFVJrKD9Jao%3D
21322,Metallurgical and materials engineers,"Metallurgical and materials engineers conduct studies of the properties and characteristics of metals and other non-metallic materials and plan, design and develop machinery and processes to concentrate, extract, refine and process metals, alloys and other materials such as ceramics, semiconductors and composite materials. They are employed in consulting engineering firms, mining, metal processing and manufacturing companies, and in government, research and educational institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=e5Z1e2Vvlx6j7RBnlrYi3%2BpJ7ucbzgP5dN%2BRdn%2BVFjo%3D
21330,Mining engineers,"Mining engineers plan, design, organize and supervise the development of mines, mine facilities, systems and equipment; and prepare and supervise the extraction of metallic or non-metallic minerals and ores from underground or surface mines. They are employed by mining companies, consulting engineering companies, manufacturers, government and in educational and research institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=dLcidrjFV5cTRZIc8V8wNfSAP%2BcDNVEGg0q%2FQnC01vQ%3D
21331,Geological engineers,"Geological engineers conduct geological and geotechnical studies to assess suitability of locations for civil engineering, mining and oil and gas projects; and plan, design, develop and supervise programs of geological data acquisition and analysis and the preparation of geological engineering reports and recommendations. They are employed in consulting engineering companies, electrical utilities, mining and petroleum companies and in government and research and educational institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=v%2B3oB4pFciQ8HHaKanRu09x5zs5wL69ObKDTzxu7GKo%3D
21332,Petroleum engineers,"Petroleum engineers conduct studies for the exploration, development and extraction of oil and gas deposits; and plan, design, develop and supervise projects for the drilling, completion, testing and re-working of oil and gas wells. They are employed by petroleum producing companies, consulting companies, well logging or testing companies, government, and research and educational institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=lmKmkT9%2F1zfkJLAhm5nWIBCSGyUX8frYkcXI7b1mseY%3D
21390,Aerospace engineers,"Aerospace engineers research, design and develop aerospace vehicles, aerospace systems and their components, and perform duties related to their testing, evaluation, installation, operation and maintenance. They are employed by aircraft and spacecraft manufacturers, air transport carriers, and in government and educational and research institutions.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=sYsORQKKUlvi0iUVbcnyxPewES4hQECUaZBVQXG4BYU%3D
21399,Other professional engineers,"Other professional engineers include agricultural and bio-resource engineers, biomedical engineers, engineering physicists and engineering scientists, marine and naval engineers, textile engineers and other specialized engineering occupations.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=pUpoOZMuGxkhjmHNgdgGehA6r8nEnaRDpqoTIPTahUw%3D
22100,Chemical technologists and technicians,"Chemical technologists and technicians provide technical support and services or may work independently in chemical engineering, chemical and biochemical research and analysis, industrial chemistry, chemical quality control and environmental protection. They are employed by research and development and quality control laboratories, consulting engineering companies, in chemical, petrochemical, pharmaceutical and a variety of other manufacturing and processing industries, and by utilities, health, educational and government establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=thmLfghh3Fk%2Fd3n2Sjr7iWBR6jNmLv%2F0K%2F4Jy65Fcu8%3D
22101,Geological and mineral technologists and technicians,"Geological and mineral technologists and technicians provide technical support and services or may work independently in the fields of oil and gas exploration and production, geophysics, petroleum engineering, geology, mining and mining engineering, mineralogy, extractive and physical metallurgy, metallurgical engineering and environmental protection. They are employed by petroleum and mining companies, consulting geology and engineering firms, and by governments and educational institutions as well as by a variety of manufacturing, construction and utilities companies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=C1EAOtssfOdj%2BWo%2FHFNWE0vsrK%2FX8p5BB8UwNaGCpc0%3D
22110,Biological technologists and technicians,"Biological technologists and technicians provide technical support and services to scientists, engineers and other professionals working in fields such as agriculture, resource management, environmental protection, plant and animal biology, microbiology, cell and molecular biology and health sciences, or may work independently in these fields. They are employed in both laboratory and field settings by governments, manufacturers of food products, chemicals and pharmaceuticals, biotechnology companies, health, research and educational institutions, environmental consulting companies, and resource and utilities companies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=1jroP12ej6Sa9VyoZXD7UrAovMIoj06AqFWzbRjeRCY%3D
22111,Agricultural and fish products inspectors,"Agricultural and fish products inspectors inspect agricultural and fish products for conformity to prescribed production, storage and transportation standards. They are employed by government departments and agencies and by private sector food processing companies. Supervisors of agricultural and fish products inspectors are also included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=hEONQF188amu%2FDg5SS%2BJ4nGwsL4bk7MyY6CBZLQutMo%3D
22112,Forestry technologists and technicians,"Forestry technologists and technicians may work independently or perform technical and supervisory functions in support of forestry research, forest management, forest harvesting, forest resource conservation and environmental protection. They are employed by the forest industry sector, provincial and federal governments, consulting firms, and other industries and institutions, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=hh3Wtivnyo6l4h9Xc%2Bi0PZsGDbAS8XMiWbMBHg%2BYeUo%3D
22113,Conservation and fishery officers,"Conservation and fishery officers, inspectors and observers enforce federal and provincial regulations established for the protection of fish, wildlife and other natural resources and collect and relay information on resource management. They are employed by federal and provincial government departments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=x4mFDqhSYNKi0FQcJm0ZfwBYPIvTtCSi0AOJC35SX70%3D
22114,Landscape and horticulture technicians and specialists,"Landscape and horticulture technicians and specialists survey and assess landscapes; draw sketches and build models of landscape designs; construct and maintain gardens, parks, golf courses and other landscaped environments; advise clients on issues related to horticulture such as irrigation; breed, cultivate and study plants; and treat injured and diseased trees and plants. They are employed by landscape designers and contractors, lawn service and tree care establishments, golf courses, nurseries and greenhouses, and municipal, provincial and national parks, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=iMFd01g33lTazJLqFo%2Fz%2Fu0hpH857uyuyFf0NnxyMMc%3D
22210,Architectural technologists and technicians,"Architectural technologists and technicians may work independently or provide technical assistance to professional architects and civil design engineers in conducting research, preparing drawings, architectural models, specifications and contracts and in supervising construction projects. They are employed by architectural and construction firms, and governments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=%2FaIvhXfH%2FPNuWufp%2FpSW5GwJm%2Fd%2F8Fx39BYsUsU7QSc%3D
22211,Industrial designers,Industrial designers conceptualize and produce designs for manufactured products. They are employed by manufacturing industries and private design firms or they may be self-employed.,https://noc.esdc.gc.ca/Structure/NocProfile?objectid=O%2FMW04OkXIg9P3mLjXNqTEpLES3muHmWjknzNHJuPq4%3D
22212,Drafting technologists and technicians,"Drafting technologists and technicians prepare engineering designs, drawings and related technical information, such as building information models (BIM), in multidisciplinary engineering teams or in support of engineers, architects or industrial designers, or they may work independently. They are employed by consulting and construction companies, utility, resource and manufacturing companies, all levels of government and by a wide range of other establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=teu4sHDaOYxj2I5EofWHX1d5FDoxhR5esYiExHU6tSw%3D
22213,Land survey technologists and technicians,"Land survey technologists and technicians conduct or participate in surveys to determine the exact locations and relative positions of natural features and other structures on the earth's surface, underground and underwater. They are employed by all levels of government, architectural and engineering firms, and by private sector surveying establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=xUIA91NK1%2F6Pq2hqaQddCmPltN%2F9CPUQ5qhAwV4708Q%3D
22214,Technical occupations in geomatics and meteorology,"Technical occupations in geomatics include aerial survey, remote sensing, geographic information systems, cartographic and photogrammetric technologists and technicians, who gather, analyze, interpret and use geospatial information for applications in natural resources, geology, environmental research and land use planning. Meteorological technologists and technicians observe weather and atmospheric conditions, record, interpret, transmit and report on meteorological data, and provide weather information to the agricultural, natural resources and transportation industries and the public. Geomatics technologists and technicians are employed by all levels of government, utilities, mapping, computer software, forestry, architectural, engineering and consulting firms and other related establishments. Meteorological technologists and technicians are employed by all levels of government, the media, natural resources, utilities and transportation companies and consulting firms.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=493C77AcfDArk7ezOLT9O020PmgFUjVfCixr858Aj5I%3D
22220,Computer network and web technicians ,"Computer network technicians establish, operate, maintain and coordinate the use of local and wide area networks (LANs and WANs), mainframe networks, hardware, software and related computer equipment. Web technicians set up and maintain internet, extranet and intranet Web sites and Web-server hardware and software, and monitor and optimize network connectivity and performance. They are employed in information technology units throughout the private and public sectors. Computer network and Web technicians who are supervisors are included in this group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=wG3dVmoTagVIl4b0soNeEaCYA0LI7dWkxeu2hZgJv%2B0%3D
22221,User support technicians,"User support technicians provide first-line technical support to computer users experiencing difficulties with computer hardware and with computer applications and communications software. They are employed by computer hardware manufacturers and retailers, software developers, in call centres and in information technology units throughout the public and private sectors. They are also employed by independent technical support companies or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=8sbYCdk3iqmTurfXwx0PT4aCmCA52ogZiG4xoH2l1b0%3D
22222,Information systems testing technicians,Information systems testing technicians execute test plans to evaluate the performance of software applications and information and telecommunications systems. They are employed in information technology units throughout the private and public sectors.,https://noc.esdc.gc.ca/Structure/NocProfile?objectid=kJy5h8%2BV4xMtBOwEBZ0R3vfJ5HkHR8ThAiA4cZR%2FI5Q%3D
22230,Non-destructive testers and inspectors,"Non-destructive testers and inspectors operate radiographic, ultrasonic, liquid penetrant, magnetic particle, eddy current and similar testing equipment to detect discontinuities in objects of various compositions and materials. They are employed by quality control, maintenance and safety departments of manufacturing, processing, transportation, energy and other companies and by private industrial inspection establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=LZ6Q1XjvigiRzgraMmSEAK8%2F0Pvi5OVgmJVYFpESWmg%3D
22231,Engineering inspectors and regulatory officers,"Engineering inspectors and regulatory officers inspect transportation vehicles such as aircraft, watercraft, automobiles and trucks and weighing and measuring devices such as scales and meters as well as industrial instruments, processes and equipment for conformity to government and industry standards and regulations. They are employed by government agencies and in the private sector.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=SnIIWRlBv30TRYMvg3dmn8Q3xtM3Tt4I47NMktTBZvc%3D
22232,Occupational health and safety specialists,"Occupational health and safety specialists review, evaluate and monitor health and safety hazards and develop strategies to prevent, control and eliminate accidents and occupational injuries. They inspect the workplace environments, equipment and practices to ensure compliance with organization and government environment, health and safety standards and regulations. They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=m6avXNRhSraoPNtD2ylsfsbKkHr3ENmZsxx0B26YPkQ%3D
22233,Construction inspectors,"Construction inspectors inspect the construction and maintenance of new and existing buildings, bridges, highways and industrial construction to ensure that specifications and building codes are observed and monitor work site safety. They are employed by federal, provincial and municipal governments, construction companies, architectural and civil engineering consulting firms or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=8re%2Bfup255nsoqU36e5Lj77YZu5tr%2FcidOafFaa4Z4M%3D
22300,Civil engineering technologists and technicians,"Civil engineering technologists and technicians provide technical support and services to scientists, engineers and other professionals, or may work independently in fields such as structural engineering, municipal engineering, construction design and supervision, highways and transportation engineering, water resources engineering, geotechnical engineering and environmental protection. They are employed by consulting engineering and construction companies, public works, transportation and other government departments and in many other industries.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Wer%2FjaZbFDV%2BoSndqmrbfbYtBfL1A0JDIS5dCoVWOI8%3D
22301,Mechanical engineering technologists and technicians,"Mechanical engineering technologists and technicians provide technical support and services or may work independently in mechanical engineering fields such as the design, development, maintenance and testing of machines, components, tools, heating and ventilating systems, geothermal power plants, power generation and power conversion plants, manufacturing plants and equipment. They are employed by consulting engineering, manufacturing and processing companies, institutions and government departments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=WGX3ixZX0gy%2F0b8JfUHRmVCilHNvQSz41NKztlVt5rk%3D
22302,Industrial engineering and manufacturing technologists and technicians,"Industrial engineering and manufacturing technologists and technicians may work independently or provide technical support and services in the development of production methods, facilities and systems, and the planning, estimating, measuring and scheduling of work. They are employed by manufacturing and insurance companies, government departments, and establishments in other industries.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=F173dLJe2JVBURKwdajTnqrmO0HI1stRpI2wl6TGNpo%3D
22303,Construction estimators,"Construction estimators analyze costs of and prepare estimates on civil engineering, architectural, structural, electrical and mechanical construction projects. They are employed by residential, commercial and industrial construction companies and major electrical, mechanical and trade contractors, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=KFMEkAR4R%2BR0Jp0kB9oqi0pQ6VOGS8SL43rzg8J%2FZyU%3D
22310,Electrical and electronics engineering technologists and technicians,"Electrical and electronics engineering technologists and technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and in governments and a wide range of manufacturing, processing and transportation industries.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jd%2BfWt7MQS7gJ1okzAGFuSFKI1PYnJkjU1OyFswQAPY%3D
22311,Electronic service technicians (household and business equipment),"Electronic service technicians service and repair household and business electronic equipment such as audio and video systems, computers and peripherals, office equipment and other consumer electronic equipment and assemblies. They are employed by electronic service and retail establishments, by wholesale distributors and within service departments of electronic manufacturing companies. Apprentices are also included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=WymfJgnjV2c6ydMUuHotImtOhojWw0lV7sbeySAqUmY%3D
22312,Industrial instrument technicians and mechanics,"Industrial instrument technicians and mechanics repair, maintain, calibrate, adjust, and install industrial measuring and controlling instrumentation. They are employed by pulp and paper processing companies, nuclear and hydro power generating companies, mining, petrochemical and natural gas companies, industrial instrument and other manufacturing companies, and by industrial instrument servicing establishments. Apprentices are also included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=8l0LVjjpISAU4Hm%2B6VTsmvT5SakotjMEaGgBglkB68g%3D
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors install, adjust, repair and overhaul aircraft instrument, electrical or avionics systems on aircraft. This unit group also includes avionics inspectors who inspect instrument, electrical and avionics systems following assembly, modification, repair or overhaul. They are employed by aircraft manufacturing, maintenance, repair and overhaul establishments and by airlines and other aircraft operators. Apprentices are also included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=RXD3iCo0wOiPp3BQRVoRCGnbsz9KvgwCTxLr7O7QYRw%3D
30010,Managers in health care,"Managers in health care plan, organize, direct, control and evaluate the delivery of health care services, such as diagnosis and treatment, nursing and therapy, within institutions, and in other settings, that provide health care services. They are employed in hospitals, medical clinics, nursing homes and other health care organizations.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=kLsYggluLkBp8mn3qIKBj8rQ98wO7SUGfzmsMZsJ%2BtA%3D
31100,Specialists in clinical and laboratory medicine,"Specialists in clinical and laboratory medicine diagnose and treat diseases and physiological or psychiatric disorders and act as consultants to other physicians. Specialists in laboratory medicine study the nature, cause and development of diseases in humans. Specialists in clinical medicine usually work in private practice or in a hospital while those in laboratory medicine usually work in hospitals. Residents in training to become specialists in clinical and laboratory medicine are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=7UKMeoR6SVsEqNTY1i9zk7cxeOIco7baO25BOYelgF8%3D
31101,Specialists in surgery,Specialists in surgery perform and supervise surgical procedures. Specialists in surgery usually work in hospitals. Residents in training to become specialists in surgery are included in this unit group.,https://noc.esdc.gc.ca/Structure/NocProfile?objectid=pCpiTvSBkqtjxNk2P%2FJdn9kneqH%2B4uwxnF7eXZZ2pro%3D
31102,General practitioners and family physicians,"General practitioners and family physicians diagnose and treat the diseases, physiological disorders and injuries of patients. They provide primary contact and continuous care toward the management of patients' health. They usually work in private practice, including group or team practices, hospitals and clinics. Residents in training to be general practitioners or family physicians are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=JXMPgGsOoWSDXEOPeyjbZKiPhdpUriE%2BjosbvNaDzcQ%3D
31103,Veterinarians,"Veterinarians prevent, diagnose and treat diseases and disorders in animals and advise clients on the feeding, hygiene, housing and general care of animals. They can also perform surgical procedures. They work in private practice or may be employed by animal clinics, farms, laboratories, government or industry.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=ah2kuR3GrxdrlOkAQpZbUrmy1aFpbglyVrsEedr8cTE%3D
31110,Dentists,"Dentists diagnose, treat, prevent and control disorders of the teeth and mouth. They work in private practice or may be employed in hospitals, clinics, public health facilities or universities.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=LLRNmdST0VhKQO2CYzCZQMuHf9Pe2dtRHZfld4CwufM%3D
31111,Optometrists,"Optometrists examine eyes to assess and diagnose ocular diseases and disorders. They prescribe and fit eyeglasses and contact lenses and recommend treatments such as exercises to correct vision problems or ocular disorders. They work in private practice, hospitals, clinics, community health centres, rehabilitation centres, the optical industry, government, and universities .",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=OhVVQnxgpJm%2FxLBBZDqotjcQUfaqqVYg9Wyq%2F020ctA%3D
31112,Audiologists and speech-language pathologists,"Audiologists diagnose, evaluate and treat individuals with peripheral and central hearing loss, tinnitus and balance problems. Speech-language pathologists diagnose, assess and treat human communication disorders including speech, fluency, language, voice and swallowing disorders. Audiologists and speech-language pathologists are employed in hospitals, community and public health centres, extended care facilities, day clinics, rehabilitation centres and educational institutions, or may work in private practice. Audiologists and speech-language pathologists who are supervisors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=OIRYtIFK0g0H1WOx3H%2Bw4L9ecAQghnMBSlnKaZCsiq0%3D
31120,Pharmacists,"Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers. They are employed in retail and health centre pharmacies, or they may be self-employed. Industrial pharmacists participate in the research, development, promotion and manufacture of pharmaceutical products. They are employed in pharmaceutical companies and government departments and agencies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=gm%2FF%2FyqBoZq0vY73svRjqEdPXS3UIUR0zfRfcq3DXuI%3D
31121,Dietitians and nutritionists,"Dietitians and nutritionists assess nutrition related issues of individuals and groups and develop, implement and evaluate nutrition care plans to prevent, treat and manage disease. They manage food and nutrition service systems, and plan health promotion programs. They are employed in a variety of settings including hospitals, home health-care agencies and extended care facilities, community health centres, the food, beverage and pharmaceutical industries, educational institutions, and government and sports organizations, or they may work as private consultants.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=ovHQ8Gu313cCsRYJVi%2FU5w%2FavLFsfmqfg%2FqXo7o%2BgrQ%3D
31200,Psychologists,"Psychologists assess and diagnose behavioural, emotional and cognitive disorders, counsel clients, provide therapy, conduct research and apply theory relating to behaviour and mental processes. Psychologists help clients work toward the maintenance and enhancement of psychological, physical, intellectual, emotional, social and interpersonal functioning. They work in private practice or in clinics, correctional facilities, hospitals, mental health facilities, rehabilitation centres, community service organizations, businesses, schools and universities, and in government and private research agencies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jqz1%2BZX7PiC2FmX3kqsYOIsO74Q5gOWpMIkHtmouJv8%3D
31201,Chiropractors,"Chiropractors assess, diagnose, treat and prevent patients' neuromuscular-skeletal disorders of the spine, nervous system, pelvis and other body joints using corrective manipulation including spinal column adjustments or other complementary therapies. They are usually in private practice or in clinics with other health practitioners.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=fxKGM902o7i9Moi%2FnHFCalOmq4Q2hkhLWSPinehFhTs%3D
31202,Physiotherapists,"Physiotherapists assess clients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain and prevent physical dysfunction in clients. They are employed in hospitals, clinics, industry, sports organizations, rehabilitation centres and extended care facilities, or may work in private practice.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=3BUgR9z3fDC7TQaADNES3g5kiJ0Aw4zvot%2BvaipOvzU%3D
31203,Occupational therapists,"Occupational therapists develop individual and group programs with people affected by illness, injury, developmental disorders, emotional or psychological problems and aging to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. They also develop and implement health promotion programs with individuals, community groups and employers. They are employed in health care facilities, in schools, and by private and social services agencies, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Lh9jpNShg8LcW5chhKjeOEAe8Uo0xAf%2FdiEdvbC3fZo%3D
31204,Kinesiologists and other professional occupations in therapy and assessment,"Kinesiologists and other professional occupations in therapy and assessment include specialized therapists who use techniques such as athletic or recreational therapy to aid in the treatment of mental and physical disabilities or injuries. They are employed by establishments such as hospitals, rehabilitation centres, extended health care facilities, clinics, recreational centres, nursing homes, industry, educational institutions and sports organizations, or they may work in private practice.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=FjCNwEg7cc834kDyCof0EgmTrfwtbNSuP1BcYQ1X1xE%3D
31209,Other professional occupations in health diagnosing and treating,"Other professional occupations in health diagnosing and treating, who are not elsewhere classified, diagnose and treat the diseases and injuries of patients. This unit group includes doctors of podiatric medicine, naturopathic medicine, and osteopathic medicine, and also includes chiropodists and podiatrists. They work in private practices, clinics and hospitals.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=VFhXIEckcPUBEhM%2Bn0Gv9BiZNq7A5tFevR%2FKdqJtcB0%3D
31300,Nursing coordinators and supervisors,"Nursing coordinators and supervisors coordinate and supervise the activities of registered nurses, registered psychiatric nurses, licensed practical nurses and other nursing personnel in the provision of patient care. They are employed in health care institutions such as hospitals, clinics and nursing homes, and in nursing agencies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=b1RQzcmMbTsxmSItuImw0%2BKcjOGhM5ltVDPEvbTX4%2B8%3D
31301,Registered nurses and registered psychiatric nurses,"Registered nurses and registered psychiatric nurses provide direct nursing care to patients, deliver health education programs and provide consultative services regarding issues relevant to the practice of nursing. They are employed in a variety of settings including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community agencies, companies, private homes and public and private organizations or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=7c2Y%2BfvOSL8xMMsCUWIlAaxZzA9AdQJohT8SYPl8Xjc%3D
31302,Nurse practitioners,"Nurse practitioners are registered nurses with additional education, advanced knowledge and nursing experience, and a specialty of practice. They provide a range of health services to patients and deliver preventive and continuous care toward the management of patients' health. Nurse practitioners work in conjunction with physicians and collaboratively with other nursing colleagues and health-care providers, or they may work independently. They are employed in community health centres, hospitals, clinics, long-term care facilities, and rehabilitation centres. Nurse practitioners may specialize in primary healthcare or acute care.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=9FKSnqgQSvTqfr8tMXk%2Bvp0%2BLjZL51TpY0OvIfmKrEo%3D
31303,"Physician assistants, midwives and allied health professionals","Physician assistants and midwives provide primary health care and treatment in conjunction with physicians and in collaboration with other health professionals. Physician assistants provide a range of health services to patients delivering preventive and continuous care toward the management of patients' health. Midwives provide full-course care to women and their babies during the pre- and post-natal period. This unit group also includes professionals, such as genetic counsellors, orthoptists and pathologists’ assistants, who work in collaboration with primary health occupations. Genetic counsellors assess individual or family risk of genetic conditions, and provide information to individuals, families and healthcare providers to promote informed choice. Orthoptists diagnose and treat binocular disorders. Pathologists’ assistants assist at autopsies and examinations of surgical specimens, or perform autopsies under a pathologist’s supervision. Physician assistants usually work under physicians in private practice, including group or team practices, hospitals and clinics. Midwives are employed in hospitals, clinics, birthing centres or in private practice. Genetic counsellors usually work in private practice, hospitals, clinics and research institutes. Orthoptists work under an ophthalmologist, particularly in private practices or clinics. Pathologists’ assistants are usually employed in hospitals and universities.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=9rE4eCm1l4kKYF7xZqLgFG6QRCcazkFSpJW3BN7jBa8%3D
32100,Opticians,"Opticians assist clients in the selection of eyeglass frames, take the necessary measurements and arrange for the production of eyeglasses or contact lenses, mount lenses in eyeglass frames and fit clients with final prescription eyeglasses and contact lenses. They are employed in optical retail outlets or other establishments with optical dispensing departments, or they may be self-employed. Student opticians and opticians who are managers of optical retail outlets are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=9h5OgraThrcJEcaEykMD1ayD5gd1RpxTUOYfUKsyOy8%3D
32101,Licensed practical nurses,"Licensed practical nurses provide nursing care usually under the direction of medical practitioners, registered nurses or other health team members. Operating room technicians prepare patients and provide assistance to medical practitioners prior to and during surgery. Licensed practical nurses are employed in hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, companies, private homes and community health centres. Operating room technicians are employed in hospitals.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=T9kwwjRNDa7EjosCT02oc3R6LZ5Or0PyM%2ByeHxkv7KU%3D
32102,Paramedical occupations,"Workers in paramedical occupations administer pre-hospital emergency medical care to patients with injuries or medical illnesses and transport them to hospitals or other medical facilities for further medical care. They are employed by private ambulance services, hospitals, fire departments, government departments and agencies, manufacturing firms, mining companies and other private sector establishments. Paramedics who are supervisors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=tWbk4i4DJMv8kozHfuZh08fKtnKDd8XT2Jq9UxAOyww%3D
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Respiratory therapists assist physicians in the evaluation, diagnosis, treatment and care of patients with respiratory and cardiopulmonary disorders. Clinical perfusionists provide technical support to patients undergoing cardiac surgery and patients requiring cardio-respiratory support. Cardiopulmonary technologists assist physicians in the technical aspects of diagnosis and treatment of cardiovascular and pulmonary disease. Respiratory therapists are employed in hospitals, extended care facilities, public health centres, sleep, private or dental clinics and respiratory home care companies. Clinical perfusionists and cardiopulmonary technologists are primarily employed in hospitals. Respiratory therapists, clinical perfusionists and cardiopulmonary technologists who are supervisors or instructors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jmev3MenYk6R9I5fXPSo40dBMCgDmXjxN1fQ8YnrrRQ%3D
