Code,Title,Description,Link
10030,Telecommunication carriers managers,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility. They are employed by wired, wireless, satellite and other telecommunications carriers.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=QDY%2F7TbkoCzAIV7T3ts8U3FlLAkXiMhk%2BZBE%2F7Xs4mw%3D
11100,Financial auditors and accountants,"Financial auditors examine and analyze the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures. Accountants plan, organize and administer accounting systems for individuals and establishments. They are employed by private sector accounting and auditing firms or departments and public sector accounting and auditing departments or units, or they may be self-employed. Articling students in accounting firms are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=oeb3UCf1A4uSJStbIS4nGnLlW%2FYwc%2BQz32dWmvzq030%3D
11101,Financial and investment analysts,"Financial and investment analysts collect and analyze financial information such as economic forecasts, trading volumes and the movement of capital, financial backgrounds of companies, historical performances and future trends of stocks, bonds and other investment instruments to provide financial and investment or financing advice for their company or their company's clients. Their studies and evaluations cover areas such as takeover bids, private placements, mergers or acquisitions. Financial analysts are employed by a wide range of establishments throughout the private and public sector, such as banks, brokerage houses, insurance companies, investment companies, manufacturing firms, trust companies, utility companies and underwriting firms. Investment analysts are employed primarily by brokerage houses and fund management companies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=TfzZBc%2F8vGS87V3OoOLJDIrSHjxEB8%2FgymZ7mcc9Tkg%3D
11102,Financial advisors,"Financial advisors counsel individuals on financial decisions such as investments, cash management, and estate planning. They establish personal financial plans according to clients’ objectives and guide them through the implementation of the proposed strategies that may be adjusted as the situation evolve. They are employed by banks, trust companies and investment firms, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Y0aZzJd7NTVjDB0Cr50oYNus8BrxMFiAX2JVdhBCjN4%3D
11103,"Securities agents, investment dealers and brokers","Securities agents and investment dealers buy and sell stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers, banks, trust companies, insurance firms and other establishments. Brokers buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers. They are employed by investment companies, stock brokerage firms, stock and commodity exchanges and other establishments in the securities industry.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=0%2FF09bbdRApMQnj9VUDj612DlMepLytKV3%2Fz9spkPOc%3D
11109,Other financial officers,"Other financial officers include professional occupations in finance such as financial examiners and inspectors, financial investigators, financial underwriters, mortgage brokers and trust officers. They are employed by banks, trust companies, investment firms and governments, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=YxdAvL8EqtybZpZg4%2Buk34lgTbtDwrUGyW2YHSRPlh8%3D
11200,Human resources professionals,"Human resources professionals develop, implement and evaluate human resources and labour relations policies, programs and procedures and advise employers and employees on human resources matters. They are employed throughout the private and public sectors, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=tF97t0xNCX6e%2B0XlgLQnmhVkRgF3w5wvXtHphJ8P8v0%3D
11201,Professional occupations in business management consulting,"Professionals in business management consulting occupations provide services to management such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements. They are employed by management consulting firms and throughout the public and private sectors or are self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=qeHoR%2FymDKz3AxorITq9xupXoPjrh%2Fham8%2Faq3Tngw0%3D
11202,"Professional occupations in advertising, marketing and public relations","Professional occupations in advertising, marketing and public relations analyse, develop and implement communication and promotion strategies and information programs, analyse advertising needs and develop appropriate advertising and marketing plans, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals. They are employed by marketing and consulting firms, advertising agencies, corporations, associations, government, social agencies, museums, galleries, public interest groups, and cultural and other organizations, or they may be self-employed. Agents such as entertainment, literary and sports agents are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=6SaTbn3pqYkSUTbL0wuVxkgMemLWQz%2BAg9LKQQ5gedI%3D
12010,"Supervisors, general office and administrative support workers","Supervisors of general office and administrative support workers supervise and coordinate the activities of workers in the following minor groups: Office support and court services occupations (1410) and Survey, statistical and data entry occupations (1411). They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=ZxtQKleT2ibw7OzbAs3NZ44oF3sfvBGAMpIALxANtew%3D
